profile_key,display_name,guidance_role,auto_suggest_mode,guidance_portion_g,contexts,reviewed_contexts_json,context_reason,changed_from_v4896602,ready_to_eat,reviewed_preparation_state,preparation_reason,priority_nutrients,flags
ciqual:13040,"Pomelo (dit Pamplemousse), chair sans peau, sans
pépins, cru",food,general,150.0,"[""lunch"",""dinner""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""vitamin_c_mg"",""fiber"",""potassium_mg""]",[]
ciqual:13434,"Pomme cajou, chair et peau, crue, prélevée à la
Martinique",food,general,150.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""vitamin_c_mg""]",[]
ciqual:13085,"Pomme Canada, chair sans peau, crue",food,general,150.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""carbs"",""energy"",""fiber"",""potassium_mg""]",[]
ciqual:13435,"Pomme cannelle, chair sans peau, sans pépins, crue,
prélevée à la Martinique",food,general,150.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""vitamin_c_mg""]",[]
ciqual:13190,"Pomme Chantecler, chair sans peau, crue",food,general,150.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""fiber"",""carbs"",""energy""]",[]
ciqual:13436,"Pomme d'eau ou pomme malaca, chair sans peau,
sans noyau, crue, prélevée à la Martinique",food,familiar_only,250.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,[],"[""curated_familiar_only""]"
ciqual:4020,"Pomme de terre dauphine, surgelée, à cuire",food,general,180.0,"[""breakfast"",""snack""]","[""lunch"",""dinner""]",starch,True,True,requires_cooking,explicit_a_cuire,"[""energy"",""fat"",""carbs"",""fiber"",""iron_mg"",""phosphorus_mg"",""potassium_mg"",""protein"",""zinc_mg""]",[]
ciqual:4021,"Pomme de terre dauphine, surgelée, cuite",food,general,180.0,"[""breakfast"",""snack""]","[""lunch"",""dinner""]",starch,True,True,ready,ready_food,"[""carbs"",""energy"",""fat"",""phosphorus_mg"",""calcium_mg"",""fiber"",""vitamin_b12_ug"",""iron_mg"",""potassium_mg"",""protein""]",[]
ciqual:4028,"Pomme de terre de conservation, sans peau,
bouillie/cuite à l'eau",food,familiar_only,180.0,"[""breakfast"",""snack""]","[""lunch"",""dinner""]",starch,True,True,ready,ready_food,"[""carbs"",""energy"",""fiber"",""potassium_mg"",""vitamin_b6_mg"",""phosphorus_mg"",""vitamin_b1_mg""]","[""curated_familiar_only""]"
ciqual:4042,"Pomme de terre duchesse, surgelée, à cuire",food,general,180.0,"[""breakfast"",""snack""]","[""lunch"",""dinner""]",starch,True,True,requires_cooking,explicit_a_cuire,"[""energy"",""fat"",""carbs"",""fiber""]",[]
ciqual:4034,"Pomme de terre duchesse, surgelée, cuite",food,general,180.0,"[""breakfast"",""snack""]","[""lunch"",""dinner""]",starch,True,True,ready,ready_food,"[""carbs"",""energy"",""fat"",""fiber"",""phosphorus_mg"",""potassium_mg"",""vitamin_b6_mg"",""calcium_mg"",""iron_mg"",""magnesium_mg""]",[]
ciqual:4053,"Pomme de terre grenaille, préfrite, surgelée, à cuire",food,general,180.0,"[""breakfast"",""snack""]","[""lunch"",""dinner""]",starch,True,True,requires_cooking,explicit_a_cuire,"[""energy"",""carbs"",""fat"",""fiber""]",[]
ciqual:4013,"Pomme de terre noisette, surgelée, à cuire",food,general,180.0,"[""breakfast"",""snack""]","[""lunch"",""dinner""]",starch,True,True,requires_cooking,explicit_a_cuire,"[""carbs"",""energy"",""fat"",""fiber"",""phosphorus_mg"",""potassium_mg"",""vitamin_b1_mg"",""vitamin_b3_mg"",""vitamin_b6_mg"",""vitamin_b9_ug""]",[]
ciqual:4035,"Pomme de terre noisette, surgelée, cuite",food,general,180.0,"[""breakfast"",""snack""]","[""lunch"",""dinner""]",starch,True,True,ready,ready_food,"[""carbs"",""energy"",""fat"",""fiber"",""potassium_mg"",""vitamin_b1_mg"",""vitamin_b6_mg"",""magnesium_mg"",""phosphorus_mg"",""protein""]",[]
ciqual:4007,"Pomme de terre nouvelle ou primeur, bouillie/cuite à
l'eau",food,familiar_only,180.0,"[""breakfast"",""snack""]","[""lunch"",""dinner""]",starch,True,True,ready,ready_food,"[""carbs"",""energy"",""fiber"",""iron_mg"",""potassium_mg"",""vitamin_b6_mg"",""vitamin_c_mg"",""phosphorus_mg"",""vitamin_b1_mg""]","[""curated_familiar_only""]"
ciqual:4029,"Pomme de terre nouvelle ou primeur, bouillie/cuite à
l'eau, sans peau",food,familiar_only,180.0,"[""breakfast"",""snack""]","[""lunch"",""dinner""]",starch,True,True,ready,ready_food,"[""carbs"",""energy"",""fiber"",""potassium_mg"",""vitamin_b6_mg"",""vitamin_c_mg""]","[""curated_familiar_only""]"
ciqual:4023,"Pomme de terre nouvelle ou primeur, crue",food,general,180.0,"[""breakfast"",""snack""]","[""lunch"",""dinner""]",starch,True,True,ready,ready_food,"[""vitamin_b6_mg"",""vitamin_c_mg"",""carbs"",""energy"",""potassium_mg"",""vitamin_b3_mg"",""fiber"",""phosphorus_mg"",""vitamin_b1_mg""]",[]
ciqual:4015,"Pomme de terre poêlée, avec matière grasse",food,general,180.0,"[""breakfast"",""snack""]","[""lunch"",""dinner""]",starch,True,True,ready,ready_food,"[""energy"",""fat"",""potassium_mg"",""carbs"",""fiber"",""vitamin_b9_ug"",""magnesium_mg"",""phosphorus_mg"",""vitamin_b6_mg""]",[]
ciqual:4036,"Pomme de terre sautée/poêlée/rissolée à la graisse
de canard",food,general,180.0,"[""breakfast"",""snack""]","[""lunch"",""dinner""]",oil,True,True,ready,ready_food,"[""energy"",""fat"",""carbs"",""fiber""]",[]
ciqual:4043,"Pomme de terre sautée/poêlée/rissolée, préfrite,
surgelée, à cuire",food,general,180.0,"[""breakfast"",""snack""]","[""lunch"",""dinner""]",starch,True,True,requires_cooking,explicit_a_cuire,"[""energy"",""carbs"",""fat"",""fiber"",""vitamin_c_mg""]",[]
ciqual:4027,"Pomme de terre sautée/poêlée/rissolée, préfrite,
surgelée, cuite",food,general,180.0,"[""breakfast"",""snack""]","[""lunch"",""dinner""]",starch,True,True,ready,ready_food,"[""carbs"",""energy"",""fiber"",""potassium_mg"",""fat"",""phosphorus_mg"",""magnesium_mg"",""protein"",""vitamin_b1_mg"",""vitamin_b6_mg""]",[]
ciqual:4014,"Pomme de terre vapeur, sous vide",food,general,180.0,"[""breakfast"",""snack""]","[""lunch"",""dinner""]",starch,True,True,ready,ready_food,"[""carbs"",""energy"",""fiber"",""vitamin_c_mg""]",[]
ciqual:4011,"Pomme de terre, appertisée, égouttée",food,general,180.0,"[""breakfast"",""snack""]","[""lunch"",""dinner""]",starch,True,True,ready,ready_food,"[""energy"",""fiber"",""potassium_mg"",""vitamin_b6_mg"",""carbs"",""iron_mg"",""vitamin_b1_mg"",""vitamin_b3_mg"",""vitamin_c_mg""]",[]
ciqual:4003,"Pomme de terre, bouillie/cuite à l'eau",food,familiar_only,180.0,"[""breakfast"",""snack""]","[""lunch"",""dinner""]",starch,True,True,ready,ready_food,"[""carbs"",""energy"",""fiber"",""potassium_mg"",""vitamin_b6_mg"",""vitamin_b1_mg"",""vitamin_b3_mg""]","[""curated_familiar_only""]"
ciqual:4048,"Pomme de terre, cuite (aliment moyen)",food,general,180.0,"[""breakfast"",""snack""]","[""lunch"",""dinner""]",starch,True,True,ready,ready_food,"[""carbs"",""energy"",""fiber"",""potassium_mg"",""selenium_ug"",""vitamin_b6_mg"",""fat"",""phosphorus_mg"",""vitamin_b1_mg"",""vitamin_b3_mg""]",[]
ciqual:4026,"Pomme de terre, rôtie/cuite au four",food,general,180.0,"[""breakfast"",""snack""]","[""lunch"",""dinner""]",starch,True,True,ready,ready_food,"[""carbs"",""energy"",""fiber"",""potassium_mg"",""vitamin_b6_mg"",""vitamin_c_mg"",""iron_mg"",""magnesium_mg"",""phosphorus_mg"",""vitamin_b1_mg""]",[]
ciqual:4008,"Pomme de terre, sans peau, crue",food,general,180.0,"[""breakfast"",""snack""]","[""lunch"",""dinner""]",starch,True,True,ready,ready_food,"[""selenium_ug"",""carbs"",""energy"",""fiber"",""potassium_mg"",""vitamin_b6_mg"",""vitamin_c_mg"",""iron_mg"",""magnesium_mg"",""phosphorus_mg""]",[]
ciqual:4002,"Pomme de terre, sans peau, rôtie/cuite au four",food,general,180.0,"[""breakfast"",""snack""]","[""lunch"",""dinner""]",starch,True,True,ready,ready_food,"[""carbs"",""energy"",""fiber"",""potassium_mg"",""vitamin_b6_mg"",""vitamin_c_mg"",""magnesium_mg"",""phosphorus_mg"",""vitamin_b1_mg"",""vitamin_b3_mg""]",[]
ciqual:13191,"Pomme Gala, chair sans peau, crue",food,general,150.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""fiber"",""carbs"",""energy""]",[]
ciqual:13620,"Pomme Golden, chair et peau, crue",food,general,150.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""carbs"",""energy"",""fiber""]",[]
ciqual:13086,"Pomme Golden, chair sans peau, crue",food,general,150.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""fiber"",""carbs"",""energy""]",[]
ciqual:13122,"Pomme Granny Smith, chair et peau, crue",food,general,150.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""fiber"",""carbs"",""energy""]",[]
ciqual:13121,"Pomme Granny Smith, chair sans peau, crue",food,general,150.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""fiber"",""carbs"",""energy""]",[]
ciqual:13437,"Pomme liane, chair sans peau, avec pépins, crue,
prélevée à la Martinique",food,general,150.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""vitamin_c_mg""]",[]
ciqual:13192,"Pomme Pink lady, chair sans peau, crue",food,general,150.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""fiber"",""carbs"",""energy""]",[]
dict:445e6e15-d58e-4654-a23e-b830b3aadc07,"Pomme rôtie, yaourt & amandes",treat,familiar_only,125.0,"[""snack""]","[""snack""]",existing_meal_contexts,False,True,ready,ready_food,[],"[""sweet_treat""]"
ciqual:13039,"Pomme, chair et peau, crue",food,general,150.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""carbs"",""energy"",""fiber""]",[]
ciqual:13176,"Pomme, chair sans peau, bouillie/cuite à l'eau",food,familiar_only,250.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""fiber"",""carbs"",""energy"",""potassium_mg""]","[""curated_familiar_only""]"
ciqual:13396,"Pomme, chair sans peau, crue (aliment moyen)",food,general,150.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""fiber"",""selenium_ug"",""carbs"",""energy""]",[]
ciqual:13175,"Pomme, chair sans peau, rôtie/cuite au four",food,general,150.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""carbs"",""energy""]",[]
ciqual:13111,"Pomme, sèche",food,general,30.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""fiber"",""carbs"",""energy""]",[]
dict:196378d2-5094-4697-b762-b1be0b41b511,Pondu / Saka-saka — Congo / RDC,meal,familiar_only,350.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",existing_meal_contexts,False,True,meal_ready,complete_meal_ready,"[""energy"",""fat"",""fiber"",""protein""]","[""composite_meal""]"
ciqual:12042,Pont l'Évêque,food,familiar_only,100.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",default_savory_or_ingredient,False,True,ready,ready_food,"[""calcium_mg"",""energy"",""fat"",""phosphorus_mg"",""protein"",""vitamin_b12_ug"",""iodine_ug"",""vitamin_b2_mg"",""vitamin_b9_ug"",""zinc_mg""]","[""curated_familiar_only""]"
ciqual:9230,"Pop-corn ou maïs éclaté, à l'huile, salé",food,familiar_only,30.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",oil,False,True,ready,ready_food,"[""energy"",""fat"",""fiber"",""carbs""]","[""curated_familiar_only""]"
ciqual:9232,"Pop-corn ou maïs éclaté, au caramel",treat,familiar_only,100.0,"[""snack""]","[""snack""]",salty_snack,False,True,ready,ready_food,"[""carbs"",""energy"",""fiber"",""fat"",""protein""]","[""sweet_treat""]"
ciqual:9231,"Pop-corn ou maïs éclaté, sans huile, non salé",food,familiar_only,30.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",oil,False,True,ready,ready_food,"[""energy"",""fiber"",""carbs"",""fat"",""magnesium_mg"",""phosphorus_mg""]","[""curated_familiar_only""]"
ciqual:25207,"Porc au caramel, préemballé",treat,familiar_only,120.0,"[""snack""]","[""lunch"",""dinner""]",animal_protein,True,True,ready,ready_food,"[""energy"",""fat"",""protein"",""vitamin_b1_mg"",""carbs"",""phosphorus_mg"",""vitamin_b12_ug"",""vitamin_b3_mg"",""zinc_mg""]","[""sweet_treat""]"
ciqual:28470,"Porc, bardière découennée crue",food,general,120.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",animal_protein,False,False,requires_cooking,existing_requires_preparation,"[""energy"",""fat"",""protein""]",[]
ciqual:28104,"Porc, carré cru",food,general,120.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",animal_protein,False,False,requires_cooking,existing_requires_preparation,"[""protein"",""vitamin_b1_mg"",""vitamin_b6_mg"",""energy"",""fat"",""phosphorus_mg"",""potassium_mg"",""selenium_ug"",""vitamin_b12_ug"",""vitamin_b2_mg""]",[]
ciqual:28105,"Porc, carré cuit",food,general,120.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",animal_protein,False,True,ready,ready_food,"[""energy"",""protein"",""vitamin_b1_mg"",""fat"",""phosphorus_mg"",""potassium_mg"",""selenium_ug"",""vitamin_b12_ug"",""vitamin_b6_mg"",""zinc_mg""]",[]
ciqual:28100,"Porc, côte crue",food,general,120.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",animal_protein,False,False,requires_cooking,existing_requires_preparation,"[""fat"",""phosphorus_mg"",""protein"",""vitamin_b1_mg"",""energy"",""potassium_mg"",""vitamin_b3_mg"",""vitamin_b6_mg"",""zinc_mg"",""vitamin_b12_ug""]",[]
ciqual:28101,"Porc, côte grillée/poêlée",food,general,120.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",animal_protein,False,True,ready,ready_food,"[""energy"",""fat"",""protein"",""vitamin_b1_mg"",""vitamin_b3_mg"",""phosphorus_mg"",""potassium_mg"",""selenium_ug"",""vitamin_b12_ug"",""vitamin_b6_mg""]",[]
ciqual:28302,"Porc, échine crue",food,general,120.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",animal_protein,False,False,requires_cooking,existing_requires_preparation,"[""energy"",""fat"",""protein"",""vitamin_b1_mg"",""phosphorus_mg"",""selenium_ug"",""vitamin_b12_ug"",""vitamin_b3_mg"",""zinc_mg"",""potassium_mg""]",[]
ciqual:28451,"Porc, échine rôtie/cuite au four",food,general,120.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",animal_protein,False,True,ready,ready_food,"[""energy"",""fat"",""protein"",""selenium_ug"",""vitamin_b1_mg"",""zinc_mg"",""phosphorus_mg"",""potassium_mg"",""vitamin_b12_ug"",""vitamin_b2_mg""]",[]
ciqual:28001,"Porc, épaule crue",food,general,120.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",animal_protein,False,False,requires_cooking,existing_requires_preparation,"[""energy"",""fat"",""protein"",""vitamin_b1_mg"",""phosphorus_mg"",""potassium_mg"",""selenium_ug"",""vitamin_b12_ug"",""vitamin_b2_mg"",""vitamin_b3_mg""]",[]
ciqual:28010,"Porc, épaule cuite",food,general,120.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",animal_protein,False,True,ready,ready_food,"[""energy"",""fat"",""protein"",""vitamin_b1_mg"",""zinc_mg"",""phosphorus_mg"",""selenium_ug"",""vitamin_b12_ug"",""vitamin_b2_mg"",""vitamin_b3_mg""]",[]
ciqual:28460,"Porc, escalope de jambon crue",food,familiar_only,120.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",animal_protein,False,False,requires_cooking,existing_requires_preparation,"[""phosphorus_mg"",""protein"",""vitamin_b1_mg"",""energy"",""fat"",""potassium_mg"",""vitamin_b3_mg"",""vitamin_b6_mg"",""vitamin_b12_ug"",""vitamin_b2_mg""]","[""processed_meat""]"
ciqual:28461,"Porc, escalope de jambon cuite",food,general,120.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",animal_protein,False,True,ready,ready_food,"[""energy"",""phosphorus_mg"",""protein"",""vitamin_b12_ug"",""vitamin_b1_mg"",""vitamin_b3_mg"",""fat"",""potassium_mg"",""selenium_ug"",""vitamin_b2_mg""]",[]
ciqual:28202,"Porc, filet maigre, en rôti, cuit",food,general,120.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",animal_protein,False,True,ready,ready_food,"[""energy"",""fat"",""protein"",""vitamin_b1_mg"",""vitamin_b3_mg"",""phosphorus_mg"",""potassium_mg"",""vitamin_b12_ug"",""vitamin_b2_mg"",""vitamin_b6_mg""]",[]
ciqual:28204,"Porc, filet mignon cru",food,general,120.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",animal_protein,False,False,requires_cooking,existing_requires_preparation,"[""protein"",""vitamin_b1_mg"",""energy"",""phosphorus_mg"",""potassium_mg"",""vitamin_b3_mg"",""vitamin_b6_mg"",""zinc_mg"",""fat"",""vitamin_b12_ug""]",[]
ciqual:28203,"Porc, filet mignon cuit",food,general,120.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",animal_protein,False,True,ready,ready_food,"[""energy"",""protein"",""vitamin_b1_mg"",""vitamin_b3_mg"",""fat"",""phosphorus_mg"",""potassium_mg"",""selenium_ug"",""vitamin_b12_ug"",""vitamin_b6_mg""]",[]
ciqual:28471,"Porc, gorge découennée crue",food,general,120.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",animal_protein,False,False,requires_cooking,existing_requires_preparation,"[""energy"",""fat"",""protein""]",[]
ciqual:28472,"Porc, hachage sans jarret, sans bateau, découenné,
dégraissé, désossé, cru",food,general,120.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",animal_protein,False,False,requires_cooking,existing_requires_preparation,"[""energy"",""fat"",""protein""]",[]
ciqual:28473,"Porc, jambon sans jarret, sans bateau, découenné,
dégraissé, désossé, cru",food,general,120.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",animal_protein,False,False,requires_cooking,existing_requires_preparation,"[""protein"",""energy"",""fat""]",[]
ciqual:28474,"Porc, jambonneau arrière, découenné, dégraisssé,
désossé, cru",food,general,120.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",animal_protein,False,False,requires_cooking,existing_requires_preparation,"[""protein"",""energy"",""fat""]",[]
ciqual:28476,"Porc, maigre 80/20 cru",food,general,120.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",animal_protein,False,False,requires_cooking,existing_requires_preparation,"[""energy"",""fat"",""protein""]",[]
ciqual:28475,"Porc, maigre 90/10 cru",food,general,120.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",animal_protein,False,False,requires_cooking,existing_requires_preparation,"[""energy"",""fat"",""protein""]",[]
ciqual:28009,"Porc, palette crue",food,general,120.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",animal_protein,False,False,requires_cooking,existing_requires_preparation,"[""energy"",""fat"",""protein"",""vitamin_b12_ug"",""vitamin_b1_mg"",""phosphorus_mg"",""potassium_mg"",""vitamin_b3_mg"",""vitamin_b6_mg"",""zinc_mg""]",[]
ciqual:28477,"Porc, palette, découennée, dégraissée, désossée,
crue",food,general,120.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",animal_protein,False,False,requires_cooking,existing_requires_preparation,"[""energy"",""fat"",""protein""]",[]
ciqual:28002,"Porc, poitrine crue",food,general,120.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",animal_protein,False,False,requires_cooking,existing_requires_preparation,"[""energy"",""fat"",""phosphorus_mg"",""protein"",""vitamin_b1_mg"",""vitamin_b3_mg"",""vitamin_b6_mg"",""zinc_mg"",""potassium_mg"",""vitamin_b12_ug""]",[]
ciqual:28479,"Porc, poitrine cutter, sans mouille, crue",food,general,120.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",animal_protein,False,False,requires_cooking,existing_requires_preparation,"[""energy"",""fat"",""protein""]",[]
